剧名称	group_title	发弹幕时刻相对于视频起始时间偏移量	累计点赞数	弹幕内容
家里家外	第2集	108652	0	我们这边口音
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	13902	0	终于上了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	79312	0	[没看够][没看够][没看够][没看够][没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	82008	0	哎，哎，不是……
北往	第2集	73269	0	是把钱打回家了，剩下的钱不够买票
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	204045	0	头不合适，都不忘记泡妞[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	12101	0	终于上了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	160350	0	怎么不可能?有太奶在一切都有可能
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	163895	0	[捂脸][捂脸][捂脸]
家里家外	第3集	83478	0	还是我们四川话好听
天下第一纨绔	第4集	40455	2	在下历飞雨[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	175361	0	这个太老爷子也太可爱了[笑哭][送花]
家里家外	第2集	141252	0	夏目友人帐bgm一出来真的好温柔
那年冬至	第5集	5862	0	家人们二刷中
家里家外	第4集	59833	0	会来事
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	259398	0	蛋仔
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	12311	0	终于来了[偷笑][捂脸][捂脸][捂脸][赞][赞][赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	152683	0	[没看够][没看够][没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	192619	0	招笑[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	80320	0	笑死我了，笑得停不下来，自己傻了都知道老五是个傻瓜[没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	96586	0	英宝[笑哭][笑哭][笑哭]
天下第一纨绔	第1集	5463	0	楚乔转里面的[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	183084	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	11016	0	饿了
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	178890	0	添仔这是新赛道啊
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	43175	0	司机的孩子吧！[恐惧][恐惧]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	82159	0	霸气太奶奶[鼓掌][鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	83903	0	[笑哭]
那年冬至	第4集	52515	0	腿脚不便就要去死吗
撕夜	第4集	174042	0	[恐惧]
幸得相遇离婚时	第3集	10515	0	云渺小姐，我来啦
天下第一纨绔	第1集	136515	0	见鬼，皇帝喜欢的女人还敢让她去陪别人？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	257394	0	别闹了
撕夜	第4集	143268	0	不犯法吗 [什么]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	10402	0	红豆生南国，纪家养男模
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	241627	0	妈妈~
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	187559	0	太可爱了
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	16006	0	同伙
北往	第5集	63941	0	必火[捂脸]此剧[鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	235015	0	好可爱[快哭了]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	228445	6	哈哈哈太搞笑了[捂脸][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	174181	0	[捂脸][捂脸][捂脸]
北往	第5集	143042	0	哈哈哈哈
那年冬至	第1集	141905	0	你可真体贴[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	38434	0	帅哥们我来啦！[笑哭][送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	31861	0	萝卜刀[笑哭]
荒年全村啃树皮，我有系统满仓肉	第2集	931	0	女主[送花]我是谁[送花]我在哪儿[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	92716	0	[爽][爽][爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	107905	0	卧槽，鉴定完毕！这特么是海王
那年冬至	第1集	67913	0	来看翅翅[送花][送花][送花][送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	177456	0	[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	49883	0	听花岛团建了
天下第一纨绔	第4集	104346	0	慈母手中剑，游子身上劈[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	6096	0	这英宝好可爱摔书包
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	274236	0	哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	120606	7	陈添祥不像演的[笑哭][笑哭][笑哭]笑死我了哈哈哈
北往	第1集	231389	0	幸亏今天是五一节[捂脸]
那年冬至	第2集	152803	0	女生是虚颜里面的姐姐
北往	第1集	187040	0	老太太是那个传统的女人吗
幸得相遇离婚时	第4集	31237	0	[偷笑][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	149284	0	添添最好看
幸得相遇离婚时	第1集	71703	0	[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	40867	0	三少爷好可爱呀，好想捏她的脸[笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	47493	0	可爱[偷笑]
幸得相遇离婚时	第1集	14425	0	我好像着魔了，看得停不下来了[捂脸]
那年冬至	第3集	129998	0	哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	200624	0	好可爱的小[偷笑]老头
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	250693	0	添添好可爱[爱慕][爱慕]
那年冬至	第2集	12056	0	邓灵枢可爱死了[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	160945	0	《妈妈，我能不能不上学？（声音中带着哭腔）（猫箱看多了）》
撕夜	第1集	19648	0	报
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	86765	0	太帅了。
北往	第1集	228492	0	都是演技派
北往	第5集	161731	0	就知道[偷笑]
家里家外	第4集	37193	3	好欢乐
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	256753	0	这人好呆好萌
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	234680	0	一个字帅
那年冬至	第5集	69747	0	话不要说太早[吃瓜][奸笑]这辈子。
撕夜	第3集	86007	0	在他眼里就是爱我的话，你都说爱我的事你不做
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	112999	83	倒反天罡
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	169516	0	？这是啥阴
幸得相遇离婚时	第3集	56951	0	[没看够]
撕夜	第3集	19966	0	六刷[偷笑]
撕夜	第3集	77143	3	突然这么一句把男主整不会了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	34376	30	可他是科学家啊[哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	131144	0	我勒个超级加倍[捂脸]
撕夜	第5集	18810	0	下集见！
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	92099	0	？？？你们两个在干什么？？？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	234378	1	添添！添添！
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	99147	0	无敌了
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	167948	0	[学会了]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	98306	0	真的没人发觉最帅的是英宝吗
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	186902	0	真.大孩子
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	217286	0	 迪迦显世？
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	116858	0	针灸没那么厉害。不可能一针就治好。
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	22229	0	终于等到了[笑][笑][笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	91258	0	买这些车花了几个亿
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	120955	0	原来季老爷子也打瓦[偷笑]
那年冬至	第1集	116753	0	有人又要被强制了，哈哈[笑哭]
撕夜	第1集	29545	0	五刷了[偷笑][偷笑]
北往	第4集	33732	0	这么悲剧是事演成了喜剧片，也是没谁了
撕夜	第4集	107272	0	女主急了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	183875	0	军装像王鹤棣
天下第一纨绔	第3集	96958	0	庄之行
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	181247	0	哈哈哈好好笑[笑哭]
北往	第2集	10494	0	加油钱也够买票的。
幸得相遇离婚时	第1集	20769	0	我是来看小忆的[送花][送花][送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	161503	0	这孩子也不是他的。她有老公了。
那年冬至	第1集	27300	0	男主好帅一直都是那么好看[爱慕][爱慕][爱慕][送花]
幸得相遇离婚时	第1集	58214	0	[送花][送花][送花]
家里家外	第4集	59744	0	哈哈哈[笑哭][笑哭][笑哭][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	158865	0	笑死了
北往	第1集	247557	0	[送花]
家里家外	第4集	91598	0	还是女主的儿子会审时度势，情商高，直接喊爸会来事
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	246176	0	小卷毛
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	3352	0	前排
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	98101	0	快去预约第四季[爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	28730	0	司机的娃
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	225771	0	[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	12218	3	这音乐好[鼓掌]
北往	第4集	56299	0	搞笑还得看东北
那年冬至	第2集	53785	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	187572	0	想笑怎么办
撕夜	第4集	15910	0	[爽][爽][爽][爽][爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	129175	0	哎~哎~哎~哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	45170	0	他是为了纪家的钱吧
那年冬至	第5集	40586	0	不搬能怎样，跳起来打我啊[奸笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	38236	0	好可爱的祥祥[送心]
撕夜	第1集	216115	0	好帅好帅
北往	第1集	11304	0	又是他
天下第一纨绔	第2集	51326	2	都是苏羽还好了～
那年冬至	第3集	110144	0	这么好看的剧我舍不得快进，反复拉进度条来回看[笑哭]
家里家外	第2集	215379	0	这个才叫爱情，哪有那么多花里胡哨的
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	188650	0	500 个月的宝宝
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	46927	0	[偷笑]
北往	第2集	121786	0	雪上加霜[捂脸][捂脸][捂脸][捂脸]
北往	第2集	78125	0	磊哥[鼓掌][鼓掌][鼓掌][鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	90308	17	婴儿肥hhhhh
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	37417	0	司机给张丽丽一伙的吧！
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	17042	0	终于上架了[鼓掌][鼓掌][鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	143540	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	90313	0	我感觉装的
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	222595	0	唉？不是
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	68028	0	12刷了
家里家外	第1集	162596	0	大学生？[什么]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	99046	0	英宝
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	61245	0	[没看够][没看够]
荒年全村啃树皮，我有系统满仓肉	第1集	137534	0	五刷了
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	138949	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	178112	0	[笑哭][笑哭][笑哭]
幸得相遇离婚时	第5集	38256	0	好看好看
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	196047	0	[笑哭][笑哭][笑哭][捂脸][捂脸][捂脸]
撕夜	第1集	15806	14	三刷了
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	38962	0	(不一定哦！)
北往	第1集	42672	0	大鹏
幸得相遇离婚时	第1集	16560	0	[没看够][没看够][没看够]
北往	第1集	231230	0	我想我妈了[哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	12024	0	笑不活了[笑哭][笑哭][笑哭][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	120291	0	瓦学弟
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	144771	3	因为她是女主
那年冬至	第3集	13798	0	盲猜男主校园里喜欢女主[捂脸]
撕夜	第1集	15764	0	真的很好看
家里家外	第4集	60756	0	这小子喊爸爸，一下给我呛到了[捂脸][捂脸][捂脸]
北往	第4集	1328	3	[捂脸][捂脸][捂脸]
那年冬至	第2集	72788	0	变态~
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	64423	0	大哥:为我花生
撕夜	第1集	243565	3	女主有些角度好像小姨妈。[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	200093	0	[捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	244554	2	好萌好帅
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	109869	0	[没看够][没看够][没看够]
那年冬至	第5集	73701	0	嘴硬[大笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	146538	0	你们没有发现么，女主角褪去青涩了，变成熟，反而少了前二部感觉
天下第一纨绔	第1集	25953	0	我怎么发现一个问题，凡是挡上热度超高的啊，什么打火的大爆款，
家里家外	第2集	218890	0	不得不说,方言真的有点影响颜值
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	246685	0	好可爱
撕夜	第1集	20280	0	3刷
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	10744	0	好像
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	23927	0	男主集齐了
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	243556	0	。？不是
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	199774	0	笑死我了
那年冬至	第4集	46401	0	女主：我要验牌
天下第一纨绔	第1集	288326	0	弹指神功帅啊[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	56592	0	打卡打卡[没看够]
天下第一纨绔	第4集	156851	0	好欢快啊，哈哈哈[捂脸][捂脸][捂脸]
幸得相遇离婚时	第1集	132403	1	好漂亮[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	88801	0	从1到3[鼓掌]第3季了[爽]一口气看完了[爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	240230	2	好萌我好爱
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	37015	0	校霸来了
那年冬至	第4集	61873	0	[捂脸][捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	122569	0	好牛掰呀[爱慕]
北往	第1集	249082	0	想起零几年打工那会了。我奶也是这样的。
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	235132	0	老33年没回来了。[爱慕]
家里家外	第1集	95106	0	二刷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	254148	0	[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	94824	0	祖传泡妞。
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	238551	0	好可爱
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	124766	0	哇塞，哇塞
北往	第5集	162977	0	乐死我了
幸得相遇离婚时	第3集	116524	0	可以拍成正剧了！
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	157794	0	[捂脸]
家里家外	第1集	125952	0	二刷
北往	第2集	102775	0	盲猜搭125跟回去过年
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	166877	0	老年大学呀[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	235822	3	好看
那年冬至	第1集	85836	0	男主好帅啊[爱慕][爱慕]
云渺1：我修仙多年强亿点怎么了	第1集	14163	0	[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	49031	0	第三部终于来了
那年冬至	第4集	61111	0	[笑哭][笑哭][笑哭]
北往	第1集	221790	0	我今天刚从家到单位[捂脸]
北往	第1集	173532	0	美兰
北往	第1集	143489	0	大鹏！
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	130262	0	我腰椎间盘突出给我治治
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	123230	0	牛[鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	164872	0	迪迦
那年冬至	第1集	34549	0	五刷啦～
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	61211	0	这几个随便单拎出来都是男主[捂脸]
家里家外	第1集	165070	2	就能听见离婚了这句话[捂脸][捂脸]
那年冬至	第1集	78510	0	合理
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	201770	0	迪迦
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	88990	0	王妈:我是传统的女人[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	21428	0	主人公容遇最漂亮啦！[笑][笑][笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	241710	0	哇，好萌又好可爱
幸得相遇离婚时	第5集	37498	0	啊？啥关系等你来娶？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	240732	0	萌萌添！！！
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	194456	0	老孩子了[吃瓜][偷笑]
那年冬至	第1集	138014	0	想想都美好
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	96752	0	[没看够][没看够][没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	75702	0	[爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	170777	0	我嘞个雷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	94316	0	[什么][什么][什么]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	47069	0	这也不像zhy啊
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	6404	0	有人吗？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	196475	0	要相信光！[酷]
撕夜	第1集	130079	0	5刷
北往	第3集	64681	2	孩子是他俩滴[捂脸]
天下第一纨绔	第2集	5566	0	几滴水比修仙的还牛[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	102512	0	英宝～
北往	第2集	32532	0	车不坏的情况下可以
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	116850	0	马嘉琪咋来了？
那年冬至	第3集	14960	0	大嫂还是不错的
家里家外	第5集	64394	0	[鼓掌][鼓掌][鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	11445	0	终于等到了
荒年全村啃树皮，我有系统满仓肉	第5集	55921	0	人家都挖了半天了，这几个人还没去呢
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	227130	0	傻了都还泡妞[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	6151	1	三刷
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	23861	0	6刷了！[捂脸]
家里家外	第4集	89739	1	笑晕
那年冬至	第1集	136852	0	好帅呀
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	80428	0	傻瓜[捂脸]
那年冬至	第4集	63847	0	憨憨
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	92298	0	[捂脸][捂脸]
撕夜	第4集	37512	2	啊！好看
撕夜	第1集	145706	0	洗刷刷了
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	105184	0	我为什么不上学？
撕夜	第2集	111510	0	好帅气[爱慕][爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	31950	0	[爱慕][爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	11235	0	开了来了[笑哭][笑哭][笑][笑]
北往	第2集	2962	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	243892	0	俺不中勒
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	138740	0	还是喜欢柯以
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	79716	0	[捂脸]
家里家外	第2集	173146	0	居然摔不烂
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	199156	0	你相信光吗
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	11508	0	肚子方的？
撕夜	第1集	229371	6	长的帅[赞]
那年冬至	第1集	150956	0	看给翅翅咋的[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	175249	0	[捂脸]
幸得相遇离婚时	第4集	32575	0	好剧[赞][赞][赞][送花][送花][送花]
家里家外	第2集	171425	0	非得弄个方言，普通话不行吗？听着特别扭。
家里家外	第2集	182686	0	小巷人家
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	182402	49	哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	218023	0	[笑哭]
北往	第2集	52367	0	有这么两个好哥们儿也真是人之幸事
那年冬至	第1集	11528	0	哇[爱慕]
撕夜	第4集	12806	0	病娇都不能再病娇了
云渺1：我修仙多年强亿点怎么了	第1集	68351	4	她的仆人
云渺1：我修仙多年强亿点怎么了	第4集	97906	0	王小亿眼神戏好到位，期待后续！
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	188879	15	纪舟野好欠揍啊
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	115744	0	王妈好像爱上了他
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	200095	0	不要晚恋[笑哭][笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	23008	0	哈哈哈哈添添和五条，画面很美
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	92562	0	英宝
那年冬至	第1集	146078	0	大家各取所需，多好啊[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	108588	0	添添
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	24813	0	四哥好爱
北往	第2集	14475	14	好现实的农民工返乡回家[哭][哭][哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	164948	6	[赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	163782	0	真
家里家外	第4集	67758	0	这娃嘴真甜[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	66554	0	别啊！[偷笑]
那年冬至	第2集	17991	0	他逃她追，他插翅难飞[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	110662	0	我不行了哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	195512	0	抽象派吗[偷笑][偷笑][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	167461	0	我刚才看见的兄弟不是一个帅小伙吗？怎么变成小女孩了？
北往	第1集	195003	0	掌公主
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	237463	0	人傻了，智商还在[捂脸]他竟然还有备用的花[偷笑]
北往	第3集	70031	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	7636	0	真的要笑死。
北往	第1集	257392	1	我也想家了。差点看哭了
家里家外	第1集	19952	0	二刷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	213225	4	迪迦出场曲[捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	94544	0	祥祥！！
北往	第2集	60990	0	轮胎演技好
北往	第1集	13955	0	来了来他来了
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	217754	0	？我真不行了
天下第一纨绔	第3集	71135	0	捧杀这一块
幸得相遇离婚时	第1集	58630	0	王小亿棒棒的
天下第一纨绔	第5集	59801	0	[偷笑][偷笑][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	14479	0	终于等到了
那年冬至	第4集	89922	0	老婆晚安
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	167453	6	666好一个老年大学
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	223839	0	从哪里掏出来的？
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	172361	0	[送花][送花][送花][送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	220617	0	笑不活了[偷笑]
家里家外	第4集	65795	0	好可爱[爱慕]
北往	第1集	9011	2	这是过年了吗大集合了
那年冬至	第2集	28142	0	哪里这么大反应[笑哭]
撕夜	第1集	285132	0	重生密码
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	112595	0	我不行了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	224545	0	笑死了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	189953	0	迪迦奥特曼
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	41504	0	身材倒像是真
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	184036	2	好可爱喜欢了！！！[送花][送花][送花][送花]
北往	第1集	86277	0	这种老板局气[赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	181368	0	好呆呀
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	128550	2	妈妈[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	173174	0	不想上学
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	242625	0	如此可爱
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	104624	0	那皮鞋锃光瓦亮
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	248988	0	好可爱。[爱慕][爱慕][爱慕][爱慕]
幸得相遇离婚时	第1集	117411	0	沙发战神来了[鼓掌]
北往	第1集	224453	0	这演技，没得说，专业演员，泪目了
幸得相遇离婚时	第1集	149632	0	有点吴倩莲样子
幸得相遇离婚时	第1集	45971	0	[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	111116	0	另一部还真是嘞
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	235049	0	啊啊啊！帅死我了！
荒年全村啃树皮，我有系统满仓肉	第5集	10927	0	？？？？？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	201862	0	俺不中用嘞。
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	85579	0	装傻
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	189692	0	妈妈18岁，儿子80岁[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	156823	0	老年大学他是小时候没上过学。
天下第一纨绔	第1集	64306	0	如烟大帝
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	29668	0	补药啊[哭][哭]
荒年全村啃树皮，我有系统满仓肉	第1集	40458	0	[爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	60849	0	剧本不让啊！[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	73191	0	《七七四十九天》
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	85652	0	好好笑。[捂脸][捂脸]
幸得相遇离婚时	第3集	71336	0	[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	92900	21	英宝[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	179400	0	真绷不住了，这里[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	222288	0	哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	217738	0	笑死[捂脸][捂脸][捂脸]
北往	第1集	22751	0	甘蔗[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	148364	0	[笑哭][笑哭][笑哭]
家里家外	第5集	68787	11	好温情的作品
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	18018	0	终于有第三部了。
北往	第2集	30439	0	上车饺子下车面
北往	第4集	54525	0	这是夏峰，银行行长。
